date,forecast,lower_bound,upper_bound
2020-05-29,169.23379446696597,145.8511758886514,190.42278909559747
2020-05-30,234.9912918522108,212.31903728892524,258.9404441402545
2020-05-31,232.47119814738778,209.60792653591412,253.515279706945
2020-06-01,171.5112503985205,150.91001095062947,192.4558950000901
2020-06-02,173.35105144178638,150.13148499379423,195.7273496366144
2020-06-03,173.65153681806268,152.04117279851104,195.76000333948812
2020-06-04,175.78693696296486,152.4003484879291,197.43085081919054
2020-06-05,175.62895845270202,153.69339572305367,197.00978594983482
2020-06-06,241.4623770358142,219.7226149876887,264.1508892115614
2020-06-07,238.929649347806,217.4130494618952,260.6644998508748
2020-06-08,177.86835146275382,157.6649495433768,199.06950847379466
2020-06-09,179.5208002180033,158.96819074726525,201.16888645357213
2020-06-10,179.55345079211435,157.9980549828563,200.3713041979172
2020-06-11,181.3486937508617,160.478483413761,202.6467818851209
2020-06-12,180.7887803865606,158.5637550052657,202.64736758280088
2020-06-13,246.17107721323012,224.93539779456825,268.2377011686737
2020-06-14,243.15226749506036,223.22252920737967,264.84426854226825
2020-06-15,181.58532139249272,160.379156120495,203.52766685069625
2020-06-16,182.72860620912792,161.33489072799338,203.2885629547778
2020-06-17,182.2647472025577,160.88608110735404,204.16859323005224
2020-06-18,183.5918802151292,161.9394338657748,206.0507126048061
2020-06-19,182.60704331404662,161.61034867587588,205.0946623146387
2020-06-20,247.6209264657337,225.47414525665633,270.2868299870658
2020-06-21,244.30161442569545,222.40933488289846,266.83289515355017
2020-06-22,182.51116030965701,160.28268947108063,206.18665526640675
2020-06-23,183.51437525594747,162.15433368885135,204.52485289841275
2020-06-24,182.99745611950033,161.22889214997335,206.07664526809023
2020-06-25,184.3591010930836,161.1210210004685,207.21063406713742
2020-06-26,183.49386594723362,162.1413081290606,205.45163809281146
2020-06-27,248.70698204063865,228.55506759956154,270.13810335725657
2020-06-28,245.65826998066126,224.02043207296217,267.69444076688353
2020-06-29,184.19898162392258,160.92787000907694,206.64359386811068
2020-06-30,185.58094777892427,165.30175190698597,208.1632427170821
2020-07-01,185.47564240308964,162.78403260527853,206.60704727282854
2020-07-02,187.2657993136803,164.3519032228569,208.98845409610246
2020-07-03,186.82931792779578,164.839716982433,207.97168797313012
2020-07-04,252.45466121678825,229.1543185774596,273.2773848762121
2020-07-05,249.7853605598275,228.0500299022221,270.98762728359384
2020-07-06,188.65744042805596,168.67937571715214,208.42505297977283
2020-07-07,190.30912049546765,168.10134400029042,210.52421557235579
2020-07-08,190.4003869645521,166.82420649124708,212.6601506672396
2020-07-09,192.3050513918645,169.58043735516205,213.8462594379343
2020-07-10,191.89501776023172,168.78665820518842,213.18778910971136
2020-07-11,257.45594766079216,235.41545244966545,278.523824289232
2020-07-12,254.63192788246386,234.07030193956712,277.4509373817537
2020-07-13,193.26294625560297,172.6366832121685,215.9860630280392
2020-07-14,194.59452984825867,173.13447699235113,217.70725067341192
2020-07-15,194.2971375148213,172.92929176815042,215.36586836216355
2020-07-16,195.75792910990054,173.6207032874788,215.6493771208167
2020-07-17,194.8646397997506,172.86994604277922,217.43331142377446
2020-07-18,259.9207605489654,237.96570340108147,281.3879857903784
2020-07-19,256.5896434417099,233.4983517832659,278.1542733115219
2020-07-20,194.73135482554446,172.6093311430659,217.36836588670477
2020-07-21,195.6116497516873,175.5918281164603,217.26926940637048
2020-07-22,194.9206807332278,171.98140457520284,216.39168563828628
2020-07-23,196.0640851508784,175.96350986716305,216.111865651233
2020-07-24,194.9462020632511,172.48031591469837,215.8300673567013
2020-07-25,259.8846413890568,236.7621203908237,281.5030267546944
2020-07-26,256.55384495447856,234.49073887482214,277.8039540075625
2020-07-27,194.82148118897746,172.3970552798776,217.86428665799545
2020-07-28,195.95706384209996,174.454305446422,218.24312111474384
2020-07-29,195.65042092921811,172.947795691552,216.94164691673797
2020-07-30,197.30266847678348,175.78157399245842,218.68375054715997
2020-07-31,196.80944599574696,173.56395286321134,218.54253057734442
2020-08-01,262.4756387532939,239.55237801957642,283.7339297752611
2020-08-02,259.95922416112126,237.8910708199188,282.2228614607833
2020-08-03,199.10807786483772,178.81157179878394,219.99244036798575
2020-08-04,201.16911907539637,179.61809856864008,223.38713697794924
2020-08-05,201.80740738336127,180.27644752414656,222.93806213538238
2020-08-06,204.39782771476345,183.25012859369383,226.1673953905672
2020-08-07,204.8090996449747,182.55688205629704,226.80994793775966
2020-08-08,271.3193131459844,249.58288629558308,292.2383834364338
2020-08-09,269.56060337357826,246.4954199916819,293.192361928113
2020-08-10,209.35677448276917,187.65391372767797,229.9122384514708
2020-08-11,211.93322629838858,189.73332800219032,233.99975010798215
2020-08-12,212.93677104751572,188.85767523512226,235.76323120289783
2020-08-13,215.727953226687,193.43038221137576,237.4142851278566
2020-08-14,216.16558753560153,194.2563874359802,237.5459371963801
2020-08-15,282.522698466653,260.18723574800975,302.9302373977496
2020-08-16,280.4314593810562,258.7851269498086,302.7087049304554
2020-08-17,219.72093019283,198.7905755794822,242.08650137062037
2020-08-18,221.62694117320123,197.0618345522951,244.41759137622202
2020-08-19,221.81170846984952,200.01532863203525,242.8790841799356
2020-08-20,223.65579764988263,203.0449901239118,245.18699259823214
2020-08-21,223.04215826230813,202.25122474043013,245.64958670882535
2020-08-22,288.2714257680317,267.1144803215341,309.47985771753446
2020-08-23,285.0061056638881,261.30293807099855,304.5923660739802
2020-08-24,223.1074599455961,200.5269544164726,246.16524978548946
2020-08-25,223.84446758854773,202.0063547102263,247.17720757862529
2020-08-26,222.91247159476643,201.21014583980937,243.16609001264402
2020-08-27,223.72415750009463,200.7164262398032,245.26808077476161
2020-08-28,222.1926160462674,200.6177549294002,243.71174688368737
2020-08-29,286.64571609561915,264.30468556886603,308.23994625027655
2020-08-30,282.769431538457,260.30868617087924,304.1492656896436
2020-08-31,220.4439695294872,198.65104312970368,242.31587392560186
2020-09-01,220.95209641196743,198.1793525903974,242.94172504112572
2020-09-02,219.9972950488071,197.7179537638329,241.84511007368454
2020-09-03,220.99441575899036,198.77324388123645,243.15353812456667
2020-09-04,219.85258603878282,198.48152471178432,239.27697563101358
2020-09-05,284.8896126644525,261.3915561068562,307.4908366247518
2020-09-06,281.77552191227545,258.9793560530058,302.54456439267483
2020-09-07,220.369081751081,199.10903933041303,242.26503097918877
2020-09-08,221.9266933146953,200.53220935652828,244.742377646689
2020-09-09,222.12127099085,199.46999304901033,243.5550155593631
2020-09-10,224.33375394008306,202.02132053154054,245.11116787396108
2020-09-11,224.43699039615365,202.48684642169016,246.46928189622358
2020-09-12,290.7112006304578,269.64032350712915,312.604979526104
2020-09-13,288.78863350505924,266.0336363990454,308.75285906113044
2020-09-14,228.49122780062854,207.17652029313828,249.42766625573532
2020-09-15,231.0406312573529,210.2860800911185,253.339669647696
2020-09-16,232.07816249053468,210.9033830058284,254.2934842695528
2020-09-17,234.95732508653765,212.0248746197778,256.3014794186361
2020-09-18,235.5285836193356,214.32624186489625,256.72533969007935
2020-09-19,302.0555786602018,281.2571253476452,323.4325000069221
2020-09-20,300.1603708101843,277.3015202813678,319.9681921629104
2020-09-21,239.66150421187075,217.5923756518523,261.2960165229918
2020-09-22,241.78422753174934,217.7025550750905,264.156925402539
2020-09-23,242.1804480106282,221.90239577686506,264.2403967438078
2020-09-24,244.22102468588534,221.78317405231263,264.7665927721904
2020-09-25,243.7801136203505,221.3609611064686,264.1302022414428
2020-09-26,309.15075171763505,287.3839045480866,329.41650967986226
2020-09-27,305.98928483926557,284.3713334555812,326.40897382926534
2020-09-28,244.15245220962993,222.4656041454983,265.13078812737933
2020-09-29,244.906491896307,222.97022950205312,266.6391666955606
2020-09-30,243.94587435319994,220.22222049700207,266.1570451482755
2020-10-01,244.68430519674735,223.22444018672107,266.58855291788325
2020-10-02,243.03774788769454,221.60737053452917,265.1272403650985
2020-10-03,307.3386923030072,284.3293442728575,329.54449745482566
2020-10-04,303.2793149573074,281.1994689223616,325.2433619703691
2020-10-05,240.74738204564932,217.38710479942546,262.8886455718271
2020-10-06,241.03429755461042,216.90085821161273,262.4792619735175
2020-10-07,239.85293782712685,219.3434551968962,261.5810186346812
2020-10-08,240.62794408853267,218.71894950715628,262.7133082315002
2020-10-09,239.27824888474623,217.2219238448842,260.7872841492208
2020-10-10,304.1310818636628,280.65296912017754,326.4756826711568
2020-10-11,300.8651134161627,278.9028024185054,324.1909425892773
2020-10-12,239.34659321051035,216.74389121557456,260.01483802030134
2020-10-13,240.83788428012417,219.7515166980367,261.85788241575824
